Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2015,10,0.615,0.296,0.275,0.223,0.200,0.125,0.127,0.212,0.169,0.150,0.021,-0.002,,,-0.110,0
2015,11,0.458,0.307,0.303,0.231,0.222,0.142,0.129,0.218,0.178,0.161,0.004,0.013,,,0.009,0
2015,12,0.376,0.165,0.165,0.082,0.073,-0.018,-0.018,0.073,0.183,0.183,0.000,0.000,,,-0.395,0
2016,1,0.283,0.075,0.075,-0.004,-0.013,-0.101,-0.101,-0.013,0.176,0.176,0.000,0.000,,,-0.495,0
2016,2,0.171,-0.012,-0.032,-0.117,-0.124,-0.216,-0.213,-0.113,0.201,0.184,0.020,-0.003,,,-0.464,0
2016,3,0.299,0.114,0.095,0.021,0.012,-0.071,-0.088,0.013,0.202,0.166,0.019,0.017,,,-0.427,0
2016,4,0.572,0.255,0.226,0.161,0.141,0.056,0.068,0.161,0.187,0.170,0.029,-0.012,,,-0.209,0
2016,5,0.425,0.291,0.295,0.208,0.201,0.108,0.096,0.193,0.195,0.187,-0.004,0.012,,,-0.046,0
2016,7,0.229,0.094,0.090,0.007,-0.006,-0.103,-0.104,-0.005,0.198,0.193,0.004,0.001,,,-0.249,0
2016,8,0.446,0.144,0.143,0.068,0.058,-0.028,-0.029,0.057,0.173,0.171,0.001,0.001,,,-0.231,0
2016,9,0.450,0.286,0.283,0.218,0.209,0.136,0.136,0.211,0.150,0.147,0.003,0.000,,,-0.016,0
2016,10,0.415,0.306,0.300,0.239,0.229,0.158,0.153,0.229,0.153,0.142,0.006,0.005,,,0.061,0
2016,11,0.442,0.282,0.285,0.206,0.196,0.108,0.100,0.191,0.182,0.177,-0.003,0.008,,,-0.069,0
2016,12,0.415,0.183,0.183,0.094,0.087,-0.009,-0.009,0.087,0.192,0.192,0.000,0.000,,,-0.148,0
2017,1,0.226,0.067,0.067,-0.019,-0.030,-0.127,-0.127,-0.030,0.194,0.194,0.000,0.000,,,-0.471,0
2017,2,0.163,0.000,-0.006,-0.075,-0.089,-0.172,-0.171,-0.086,0.171,0.166,0.006,-0.001,,,-0.337,0
2017,3,0.311,0.121,0.114,0.039,0.036,-0.042,-0.063,0.029,0.184,0.156,0.007,0.021,,,-0.237,0
2017,4,0.446,0.183,0.154,0.091,0.067,-0.021,-0.015,0.084,0.198,0.175,0.029,-0.006,,,-0.215,0
2017,5,0.310,0.140,0.140,0.049,0.036,-0.068,-0.068,0.036,0.208,0.208,0.000,0.000,,,-0.227,0
2017,6,0.486,0.198,0.198,0.109,0.099,0.000,0.000,0.099,0.198,0.198,0.000,0.000,,,-0.113,0
2017,7,0.091,0.016,0.016,-0.066,-0.076,-0.168,-0.168,-0.076,0.184,0.184,0.000,0.000,,,-0.274,0
2017,8,0.300,0.062,0.060,-0.026,-0.036,-0.132,-0.146,-0.042,0.208,0.192,0.002,0.014,,,-0.300,0
2017,9,0.358,0.202,0.192,0.124,0.109,0.027,0.023,0.112,0.179,0.165,0.010,0.004,,,-0.332,0
2017,10,0.641,0.356,0.341,0.286,0.269,0.198,0.191,0.273,0.165,0.143,0.015,0.007,,,-0.152,0
2017,11,0.272,0.143,0.135,0.064,0.057,-0.021,-0.029,0.057,0.172,0.156,0.008,0.008,,,-0.150,0
2017,12,0.273,0.021,0.021,-0.064,-0.078,-0.176,-0.176,-0.078,0.197,0.197,0.000,0.000,,,-0.385,0
2018,1,0.081,-0.088,-0.091,-0.181,-0.194,-0.296,-0.299,-0.194,0.211,0.205,0.003,0.003,,,-0.525,0
2018,2,0.203,0.036,0.038,-0.042,-0.047,-0.132,-0.138,-0.051,0.174,0.170,-0.002,0.006,,,-0.280,0
2018,3,0.234,0.108,0.112,0.029,0.033,-0.046,-0.072,0.018,0.180,0.158,-0.004,0.026,,,-0.171,0
2018,4,0.334,0.121,0.115,0.037,0.028,-0.059,-0.074,0.023,0.195,0.174,0.006,0.015,,,-0.245,0
2018,5,0.200,0.107,0.107,0.012,0.002,-0.102,-0.102,0.002,0.209,0.209,0.000,0.000,,,-0.246,0
2018,6,0.268,0.066,0.066,-0.032,-0.044,-0.153,-0.153,-0.044,0.219,0.219,0.000,0.000,,,-0.315,0
2018,7,0.108,0.006,0.006,-0.088,-0.099,-0.203,-0.203,-0.099,0.209,0.209,0.000,0.000,,,-0.349,0
2018,8,0.250,0.117,0.113,0.040,0.034,-0.045,-0.056,0.030,0.173,0.158,0.004,0.011,,,-0.224,0
2018,9,0.479,0.265,0.262,0.192,0.188,0.113,0.100,0.182,0.165,0.149,0.003,0.013,,,-0.062,0
2018,10,0.667,0.383,0.388,0.307,0.306,0.224,0.209,0.296,0.174,0.164,-0.005,0.015,,,-0.075,0
2018,11,0.396,0.162,0.152,0.081,0.067,-0.017,-0.020,0.071,0.182,0.169,0.010,0.003,,,-0.246,0
2018,12,0.298,0.061,0.063,-0.026,-0.033,-0.128,-0.134,-0.037,0.195,0.191,-0.002,0.006,,,-0.488,0
2019,1,0.154,0.034,0.034,-0.062,-0.069,-0.171,-0.171,-0.069,0.205,0.205,0.000,0.000,,,-0.492,0
2019,3,0.344,0.165,0.153,0.080,0.067,-0.018,-0.019,0.073,0.184,0.171,0.012,0.001,,,-0.186,0
2019,4,0.321,0.168,0.168,0.075,0.077,-0.013,-0.028,0.070,0.196,0.181,0.000,0.015,,,-0.232,0
2019,5,0.529,0.379,0.378,0.296,0.289,0.200,0.196,0.287,0.183,0.178,0.001,0.004,,,0.038,0
2019,6,0.377,0.231,0.231,0.140,0.128,0.025,0.025,0.128,0.206,0.206,0.000,0.000,,,-0.097,0
2019,7,0.302,0.165,0.160,0.072,0.057,-0.046,-0.047,0.059,0.212,0.206,0.005,0.001,,,-0.302,0
2019,8,0.227,0.101,0.094,0.012,0.005,-0.084,-0.100,0.000,0.201,0.178,0.007,0.016,,,-0.226,0
2019,9,0.481,0.315,0.320,0.233,0.237,0.155,0.137,0.226,0.178,0.165,-0.005,0.018,,,-0.109,0
2019,10,0.577,0.423,0.423,0.333,0.324,0.225,0.225,0.324,0.198,0.198,0.000,0.000,,,-0.071,0
2019,11,0.396,0.241,0.234,0.155,0.144,0.054,0.046,0.143,0.195,0.180,0.007,0.008,,,-0.080,0
2019,12,0.317,0.097,0.083,0.010,-0.010,-0.103,-0.104,-0.004,0.201,0.186,0.014,0.001,,,-0.267,0
2020,1,0.311,0.120,0.116,0.031,0.018,-0.080,-0.082,0.019,0.202,0.196,0.004,0.002,,,-0.356,0
2020,2,0.200,0.052,0.050,-0.048,-0.049,-0.148,-0.158,-0.053,0.210,0.198,0.002,0.010,,,-0.429,0
2020,3,0.271,0.150,0.136,0.059,0.045,-0.045,-0.051,0.049,0.201,0.181,0.014,0.006,,,-0.238,0
2020,4,0.463,0.307,0.299,0.223,0.209,0.119,0.113,0.210,0.194,0.180,0.008,0.006,,,-0.019,0
2020,5,0.397,0.253,0.245,0.158,0.142,0.039,0.036,0.144,0.217,0.206,0.008,0.003,,,-0.079,0
2020,6,0.432,0.283,0.278,0.188,0.183,0.087,0.076,0.179,0.207,0.191,0.005,0.011,,,-0.052,0
2020,7,1.134,0.163,0.163,0.073,0.035,-0.092,-0.092,0.035,0.255,0.255,0.000,0.000,,,-0.244,0
2020,8,0.605,0.147,0.143,0.062,0.042,-0.060,-0.067,0.040,0.214,0.203,0.004,0.007,,,-0.259,0
2020,9,0.789,0.352,0.352,0.266,0.258,0.164,0.159,0.255,0.193,0.188,0.000,0.005,,,-0.064,0
2020,10,0.672,0.310,0.306,0.222,0.215,0.124,0.122,0.216,0.188,0.182,0.004,0.002,,,-0.160,0
2020,11,0.448,0.291,0.290,0.202,0.201,0.113,0.098,0.194,0.193,0.177,0.001,0.015,,,-0.156,0
2020,12,0.210,-0.014,-0.022,-0.117,-0.132,-0.242,-0.241,-0.127,0.227,0.220,0.008,-0.001,,,-0.530,0
