Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2011,1,0.096,-0.118,-0.139,-0.453,-0.442,-0.744,-0.790,-0.454,0.672,0.605,0.021,0.046,1.600,7.770,-0.924,0
2011,2,0.025,-0.130,-0.150,-0.461,-0.453,-0.755,-0.795,-0.462,0.665,0.605,0.020,0.040,1.430,7.640,-0.908,0
2011,3,0.027,-0.082,-0.098,-0.413,-0.401,-0.705,-0.740,-0.411,0.658,0.607,0.016,0.035,1.450,7.670,-0.910,0
2011,4,0.110,-0.066,-0.082,-0.397,-0.387,-0.693,-0.733,-0.399,0.667,0.611,0.016,0.040,1.490,7.670,-0.886,0
2011,5,0.241,-0.017,-0.038,-0.355,-0.345,-0.653,-0.696,-0.357,0.679,0.615,0.021,0.043,1.550,7.700,-0.816,0
2011,6,0.168,0.020,0.004,-0.310,-0.304,-0.611,-0.653,-0.317,0.673,0.615,0.016,0.042,1.490,7.630,-0.842,0
2011,7,0.143,0.017,0.000,-0.317,-0.310,-0.620,-0.663,-0.323,0.680,0.620,0.017,0.043,1.460,7.630,-0.801,0
2011,8,0.359,0.112,0.102,-0.229,-0.219,-0.541,-0.572,-0.230,0.684,0.643,0.010,0.031,1.440,7.600,-0.704,0
2011,9,0.275,0.132,0.120,-0.209,-0.200,-0.521,-0.550,-0.209,0.682,0.641,0.012,0.029,1.440,7.560,-0.694,0
2011,10,0.317,0.185,0.167,-0.166,-0.155,-0.477,-0.516,-0.166,0.701,0.644,0.018,0.039,1.390,7.530,-0.683,0
2011,11,0.332,0.183,0.161,-0.166,-0.156,-0.474,-0.513,-0.165,0.696,0.635,0.022,0.039,1.460,7.600,-0.733,0
2011,12,0.234,0.051,0.030,-0.289,-0.281,-0.592,-0.626,-0.288,0.677,0.622,0.021,0.034,1.500,7.670,-0.885,0
2012,1,0.057,-0.083,-0.102,-0.413,-0.403,-0.705,-0.744,-0.413,0.661,0.603,0.019,0.039,1.540,7.670,-0.856,0
2012,2,0.248,0.039,0.025,-0.297,-0.287,-0.600,-0.634,-0.297,0.673,0.625,0.014,0.034,1.470,7.610,-0.751,0
2012,3,0.198,-0.001,-0.021,-0.332,-0.323,-0.625,-0.661,-0.331,0.660,0.604,0.020,0.036,1.420,7.650,-0.742,0
2012,4,0.227,0.044,0.025,-0.297,-0.288,-0.601,-0.634,-0.295,0.678,0.626,0.019,0.033,1.450,7.600,-0.762,0
2012,5,0.236,0.095,0.071,-0.255,-0.245,-0.562,-0.601,-0.253,0.696,0.633,0.024,0.039,1.530,7.700,-0.761,0
2012,6,0.244,0.145,0.123,-0.206,-0.195,-0.513,-0.554,-0.204,0.699,0.636,0.022,0.041,1.520,7.700,-0.777,0
2012,7,0.202,0.062,0.047,-0.279,-0.268,-0.584,-0.624,-0.281,0.686,0.631,0.015,0.040,1.540,7.690,-0.698,0
2012,8,0.340,0.083,0.066,-0.256,-0.246,-0.559,-0.593,-0.255,0.676,0.625,0.017,0.034,1.530,7.660,-0.730,0
2012,9,0.231,0.090,0.075,-0.248,-0.236,-0.548,-0.577,-0.243,0.667,0.623,0.015,0.029,1.540,7.650,-0.735,0
2012,10,0.579,0.197,0.173,-0.148,-0.139,-0.450,-0.484,-0.143,0.681,0.623,0.024,0.034,1.570,7.640,-0.713,0
2012,11,0.410,0.272,0.257,-0.077,-0.067,-0.390,-0.424,-0.076,0.696,0.647,0.015,0.034,1.520,7.610,-0.633,0
2012,12,0.306,0.098,0.082,-0.245,-0.235,-0.552,-0.588,-0.245,0.686,0.634,0.016,0.036,1.480,7.610,-0.773,0
2013,1,0.227,0.030,0.013,-0.310,-0.301,-0.615,-0.647,-0.308,0.677,0.628,0.017,0.032,1.490,7.660,-0.763,0
2013,2,0.159,0.013,-0.005,-0.328,-0.317,-0.629,-0.661,-0.324,0.674,0.624,0.018,0.032,1.520,7.660,-0.750,0
2013,3,0.342,0.086,0.066,-0.269,-0.258,-0.582,-0.612,-0.263,0.698,0.648,0.020,0.030,1.460,7.600,-0.762,0
2013,4,0.227,0.018,-0.001,-0.326,-0.316,-0.631,-0.669,-0.326,0.686,0.630,0.019,0.038,1.400,7.610,-0.783,0
2013,5,0.216,0.095,0.073,-0.257,-0.247,-0.567,-0.599,-0.252,0.694,0.640,0.023,0.032,1.430,7.600,-0.736,0
2013,6,0.122,-0.003,-0.024,-0.344,-0.334,-0.644,-0.681,-0.342,0.678,0.620,0.021,0.037,1.500,7.710,-0.804,0
2013,7,0.211,0.070,0.054,-0.263,-0.255,-0.563,-0.592,-0.261,0.662,0.617,0.016,0.029,1.520,7.720,-0.728,0
2013,8,0.267,0.054,0.042,-0.274,-0.264,-0.570,-0.603,-0.274,0.657,0.612,0.012,0.033,1.550,7.700,-0.709,0
2013,9,0.330,0.166,0.155,-0.170,-0.160,-0.475,-0.501,-0.167,0.667,0.630,0.011,0.026,1.480,7.580,-0.623,0
2013,10,0.449,0.252,0.236,-0.093,-0.084,-0.403,-0.428,-0.088,0.680,0.639,0.016,0.024,1.500,7.590,-0.548,0
2013,11,0.377,0.215,0.195,-0.135,-0.125,-0.445,-0.477,-0.131,0.692,0.640,0.020,0.032,1.510,7.580,-0.668,0
2013,12,0.383,0.101,0.077,-0.255,-0.245,-0.568,-0.605,-0.252,0.706,0.645,0.024,0.037,1.510,7.660,-0.718,0
2014,1,0.269,0.085,0.060,-0.277,-0.266,-0.592,-0.626,-0.270,0.711,0.652,0.025,0.034,1.530,7.650,-0.758,0
2014,2,0.277,0.093,0.079,-0.253,-0.242,-0.563,-0.597,-0.252,0.690,0.642,0.014,0.034,1.510,7.670,-0.725,0
2014,3,0.239,0.070,0.052,-0.286,-0.275,-0.601,-0.630,-0.280,0.700,0.652,0.018,0.029,1.470,7.680,-0.745,0
2014,4,0.317,0.084,0.066,-0.265,-0.256,-0.578,-0.611,-0.264,0.695,0.644,0.018,0.033,1.450,7.620,-0.757,0
2014,5,0.223,0.100,0.077,-0.250,-0.240,-0.556,-0.590,-0.245,0.690,0.633,0.023,0.034,1.460,7.590,-0.731,0
2014,6,0.114,0.040,0.018,-0.302,-0.292,-0.602,-0.632,-0.296,0.672,0.620,0.022,0.030,1.500,7.700,-0.803,0
2014,7,0.151,0.037,0.022,-0.295,-0.286,-0.594,-0.623,-0.293,0.661,0.616,0.016,0.029,1.520,7.680,-0.744,0
2014,8,0.340,0.147,0.134,-0.194,-0.184,-0.502,-0.528,-0.190,0.675,0.636,0.013,0.026,1.490,7.620,-0.699,0
2014,9,0.340,0.182,0.164,-0.166,-0.157,-0.479,-0.498,-0.158,0.680,0.643,0.018,0.019,1.500,7.680,-0.688,0
2014,10,0.399,0.219,0.201,-0.135,-0.126,-0.452,-0.481,-0.131,0.700,0.653,0.018,0.029,1.530,7.620,-0.585,0
2014,11,0.367,0.234,0.210,-0.130,-0.118,-0.447,-0.484,-0.125,0.718,0.657,0.024,0.037,1.480,7.580,-0.625,0
2014,12,0.337,0.191,0.174,-0.167,-0.155,-0.484,-0.521,-0.165,0.712,0.658,0.018,0.037,1.500,7.620,-0.661,0
2015,1,0.325,0.096,0.077,-0.256,-0.244,-0.565,-0.603,-0.254,0.699,0.641,0.019,0.039,1.490,7.630,-0.718,0
2015,2,0.248,0.111,0.091,-0.242,-0.232,-0.555,-0.586,-0.237,0.697,0.646,0.020,0.031,1.480,7.560,-0.737,0
2015,3,0.226,0.004,-0.019,-0.338,-0.331,-0.643,-0.671,-0.333,0.675,0.624,0.023,0.028,1.530,7.660,-0.763,0
2015,4,0.254,0.038,0.020,-0.306,-0.296,-0.611,-0.642,-0.302,0.680,0.631,0.018,0.031,1.500,7.660,-0.746,0
2015,5,0.174,0.072,0.045,-0.278,-0.267,-0.580,-0.614,-0.271,0.686,0.625,0.027,0.034,1.500,7.690,-0.739,0
2015,6,0.130,-0.009,-0.031,-0.351,-0.342,-0.653,-0.690,-0.350,0.681,0.622,0.021,0.037,1.490,7.710,-0.816,0
2015,7,0.104,0.027,0.008,-0.315,-0.307,-0.622,-0.661,-0.317,0.688,0.630,0.019,0.039,1.500,7.670,-0.767,0
2015,8,0.346,0.128,0.117,-0.219,-0.211,-0.539,-0.568,-0.220,0.696,0.656,0.011,0.029,1.470,7.630,-0.684,0
