Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2015,9,0.554,0.199,0.186,-0.155,-0.146,-0.477,-0.503,-0.152,0.703,0.663,0.013,0.026,1.460,7.580,-0.657,0
2015,10,0.509,0.383,0.368,0.017,0.027,-0.314,-0.345,0.019,0.728,0.682,0.015,0.031,1.400,7.520,-0.575,0
2015,11,0.419,0.220,0.201,-0.134,-0.124,-0.449,-0.478,-0.129,0.699,0.651,0.019,0.029,1.510,7.660,-0.615,0
2015,12,0.344,0.173,0.155,-0.172,-0.162,-0.479,-0.511,-0.169,0.684,0.635,0.018,0.032,1.530,7.680,-0.717,0
2016,1,0.345,0.152,0.131,-0.199,-0.187,-0.505,-0.544,-0.196,0.696,0.636,0.021,0.039,1.550,7.680,-0.740,0
2016,3,0.241,0.036,0.022,-0.303,-0.291,-0.604,-0.632,-0.298,0.668,0.626,0.014,0.028,1.510,7.690,-0.778,0
2016,4,0.226,0.118,0.096,-0.236,-0.224,-0.545,-0.569,-0.226,0.687,0.641,0.022,0.024,1.470,7.630,-0.737,0
2016,5,0.401,0.096,0.074,-0.260,-0.249,-0.573,-0.602,-0.253,0.698,0.647,0.022,0.029,1.550,7.720,-0.691,0
2016,6,0.228,0.069,0.046,-0.286,-0.276,-0.598,-0.635,-0.283,0.704,0.644,0.023,0.037,1.600,7.780,-0.752,0
2016,7,0.172,0.025,0.012,-0.312,-0.303,-0.618,-0.657,-0.316,0.682,0.630,0.013,0.039,1.530,7.780,-0.793,0
2016,8,0.235,0.095,0.076,-0.249,-0.241,-0.558,-0.585,-0.245,0.680,0.634,0.019,0.027,1.550,7.770,-0.710,0
2016,9,0.241,0.110,0.096,-0.227,-0.219,-0.533,-0.554,-0.222,0.664,0.629,0.014,0.021,1.540,7.730,-0.689,0
2016,10,0.551,0.336,0.314,-0.022,-0.011,-0.337,-0.366,-0.015,0.702,0.651,0.022,0.029,1.550,7.610,-0.549,0
2016,11,0.484,0.253,0.233,-0.104,-0.094,-0.422,-0.454,-0.100,0.707,0.655,0.020,0.032,1.520,7.650,-0.591,0
2016,12,0.311,0.087,0.064,-0.264,-0.254,-0.573,-0.608,-0.260,0.695,0.637,0.023,0.035,1.550,7.740,-0.727,0
2017,1,0.258,0.058,0.034,-0.295,-0.284,-0.603,-0.636,-0.289,0.694,0.637,0.024,0.033,1.540,7.730,-0.782,0
2017,2,0.119,-0.005,-0.021,-0.345,-0.333,-0.646,-0.680,-0.342,0.675,0.625,0.016,0.034,1.540,7.720,-0.835,0
2017,3,0.214,0.014,-0.006,-0.334,-0.325,-0.643,-0.672,-0.329,0.686,0.637,0.020,0.029,1.490,7.660,-0.807,0
2017,4,0.317,0.143,0.119,-0.217,-0.208,-0.534,-0.570,-0.214,0.713,0.653,0.024,0.036,1.460,7.640,-0.721,0
2017,5,0.197,0.050,0.019,-0.312,-0.303,-0.625,-0.660,-0.305,0.710,0.644,0.031,0.035,1.470,7.730,-0.780,0
2017,6,0.195,0.082,0.060,-0.263,-0.255,-0.570,-0.600,-0.259,0.682,0.630,0.022,0.030,1.550,7.760,-0.713,0
2017,7,0.216,0.099,0.081,-0.238,-0.230,-0.541,-0.577,-0.239,0.676,0.622,0.018,0.036,1.560,7.780,-0.787,0
2017,8,0.153,0.064,0.050,-0.263,-0.255,-0.560,-0.595,-0.265,0.659,0.610,0.014,0.035,1.590,7.760,-0.761,0
2017,9,1.088,0.286,0.258,-0.068,-0.060,-0.378,-0.407,-0.060,0.693,0.636,0.028,0.029,1.490,7.670,-0.562,0
2017,10,0.617,0.285,0.263,-0.065,-0.055,-0.374,-0.398,-0.056,0.683,0.637,0.022,0.024,1.470,7.580,-0.566,0
2017,11,0.402,0.228,0.211,-0.128,-0.115,-0.441,-0.478,-0.125,0.706,0.652,0.017,0.037,1.540,7.620,-0.669,0
2017,12,0.324,0.088,0.068,-0.269,-0.257,-0.583,-0.626,-0.269,0.714,0.651,0.020,0.043,1.580,7.710,-0.748,0
2018,1,0.358,0.034,0.014,-0.324,-0.310,-0.634,-0.676,-0.321,0.710,0.648,0.020,0.042,1.520,7.680,-0.850,0
2018,2,0.135,-0.046,-0.065,-0.382,-0.372,-0.679,-0.718,-0.382,0.672,0.614,0.019,0.039,1.510,7.710,-0.830,0
2018,3,0.301,0.161,0.145,-0.196,-0.183,-0.512,-0.540,-0.189,0.701,0.657,0.016,0.028,1.510,7.660,-0.685,0
2018,4,0.228,0.058,0.034,-0.296,-0.283,-0.601,-0.633,-0.288,0.691,0.635,0.024,0.032,1.470,7.680,-0.783,0
2018,5,0.128,-0.016,-0.043,-0.349,-0.340,-0.637,-0.680,-0.348,0.664,0.594,0.027,0.043,1.550,7.780,-0.780,0
2018,6,0.190,0.042,0.018,-0.299,-0.290,-0.598,-0.634,-0.296,0.676,0.616,0.024,0.036,1.540,7.760,-0.764,0
2018,7,0.217,0.070,0.048,-0.270,-0.261,-0.571,-0.605,-0.267,0.675,0.619,0.022,0.034,1.530,7.720,-0.748,0
2018,8,0.254,0.067,0.055,-0.264,-0.255,-0.565,-0.594,-0.264,0.661,0.620,0.012,0.029,1.520,7.710,-0.809,0
2018,9,0.393,0.174,0.157,-0.170,-0.162,-0.481,-0.515,-0.170,0.689,0.638,0.017,0.034,1.460,7.660,-0.636,0
2018,10,0.412,0.188,0.167,-0.160,-0.152,-0.471,-0.503,-0.157,0.691,0.638,0.021,0.032,1.450,7.590,-0.630,0
2018,11,0.404,0.180,0.159,-0.175,-0.165,-0.489,-0.521,-0.171,0.701,0.648,0.021,0.032,1.480,7.600,-0.663,0
2018,12,0.268,0.128,0.105,-0.227,-0.216,-0.538,-0.581,-0.227,0.709,0.643,0.023,0.043,1.500,7.670,-0.835,0
2019,1,0.238,0.083,0.065,-0.265,-0.254,-0.573,-0.618,-0.267,0.701,0.638,0.018,0.045,1.520,7.710,-0.823,0
2019,2,0.255,0.090,0.072,-0.258,-0.249,-0.570,-0.608,-0.259,0.698,0.642,0.018,0.038,1.420,7.660,-0.745,0
2019,3,0.451,0.190,0.172,-0.156,-0.147,-0.466,-0.502,-0.156,0.692,0.638,0.018,0.036,1.460,7.630,-0.641,0
2019,4,0.268,0.106,0.088,-0.233,-0.225,-0.539,-0.572,-0.233,0.678,0.627,0.018,0.033,1.440,7.660,-0.768,0
2019,5,0.222,0.090,0.064,-0.255,-0.246,-0.557,-0.596,-0.253,0.686,0.621,0.026,0.039,1.490,7.690,-0.783,0
2019,6,0.246,0.097,0.074,-0.248,-0.240,-0.553,-0.596,-0.249,0.693,0.627,0.023,0.043,1.520,7.700,-0.708,0
2019,7,0.358,0.128,0.109,-0.214,-0.207,-0.523,-0.564,-0.218,0.692,0.632,0.019,0.041,1.480,7.670,-0.681,0
2019,8,0.446,0.215,0.205,-0.131,-0.123,-0.452,-0.486,-0.135,0.701,0.657,0.010,0.034,1.480,7.650,-0.554,0
2019,9,0.568,0.349,0.333,-0.008,0.000,-0.333,-0.366,-0.008,0.715,0.666,0.016,0.033,1.470,7.600,-0.495,0
2019,10,0.599,0.387,0.370,0.026,0.033,-0.304,-0.338,0.025,0.725,0.674,0.017,0.034,1.440,7.590,-0.583,0
2019,11,0.523,0.350,0.333,-0.004,0.006,-0.321,-0.358,-0.004,0.708,0.654,0.017,0.037,1.470,7.580,-0.652,0
2019,12,0.321,0.168,0.148,-0.174,-0.166,-0.480,-0.518,-0.175,0.686,0.628,0.020,0.038,1.520,7.640,-0.635,0
2020,1,0.393,0.082,0.057,-0.259,-0.249,-0.556,-0.597,-0.257,0.679,0.613,0.025,0.041,1.520,7.690,-0.797,0
2020,2,0.295,0.045,0.020,-0.298,-0.288,-0.597,-0.632,-0.293,0.677,0.617,0.025,0.035,1.480,7.690,-0.872,0
2020,3,0.288,0.039,0.020,-0.295,-0.287,-0.594,-0.634,-0.297,0.673,0.614,0.019,0.040,1.480,7.680,-0.728,0
2020,4,0.311,0.091,0.071,-0.253,-0.244,-0.559,-0.596,-0.252,0.687,0.630,0.020,0.037,1.420,7.630,-0.726,0
2020,5,0.227,0.128,0.107,-0.214,-0.207,-0.521,-0.552,-0.212,0.680,0.628,0.021,0.031,1.460,7.630,-0.743,0
2020,6,0.259,0.153,0.134,-0.186,-0.178,-0.491,-0.530,-0.188,0.683,0.625,0.019,0.039,1.530,7.730,-0.665,0
2020,7,0.233,0.101,0.082,-0.236,-0.228,-0.538,-0.578,-0.238,0.679,0.620,0.019,0.040,1.550,7.750,-0.648,0
2020,8,0.365,0.157,0.143,-0.177,-0.168,-0.480,-0.516,-0.179,0.673,0.623,0.014,0.036,1.510,7.730,-0.617,0
2020,9,0.592,0.311,0.296,-0.029,-0.022,-0.340,-0.369,-0.029,0.680,0.636,0.015,0.029,1.460,7.590,-0.542,0
2020,10,0.590,0.346,0.327,-0.001,0.008,-0.312,-0.340,0.003,0.686,0.639,0.019,0.028,1.470,7.620,-0.501,0
2020,11,0.573,0.305,0.281,-0.040,-0.030,-0.341,-0.382,-0.038,0.687,0.622,0.024,0.041,1.470,7.610,-0.606,0
2020,12,0.248,0.090,0.063,-0.257,-0.244,-0.552,-0.597,-0.253,0.687,0.615,0.027,0.045,1.550,7.620,-0.757,0
