Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2011,1,0.309,-0.089,-0.211,-0.989,-1.021,-1.831,-1.903,-0.996,1.814,1.620,0.122,0.072,0.340,6.620,-2.301,0
2011,2,0.235,-0.087,-0.201,-0.966,-1.002,-1.804,-1.879,-0.983,1.792,1.603,0.114,0.075,0.270,6.470,-2.315,0
2011,3,0.353,-0.021,-0.115,-0.872,-0.908,-1.702,-1.765,-0.893,1.744,1.587,0.094,0.063,0.380,6.590,-2.219,0
2011,4,0.318,-0.080,-0.197,-0.957,-0.997,-1.797,-1.855,-0.967,1.775,1.600,0.117,0.058,0.310,6.500,-2.152,0
2011,5,0.429,0.041,-0.092,-0.841,-0.884,-1.676,-1.728,-0.843,1.769,1.584,0.133,0.052,0.350,6.590,-2.014,0
2011,6,0.466,0.042,-0.102,-0.856,-0.901,-1.700,-1.764,-0.861,1.806,1.598,0.144,0.064,0.340,6.570,-1.966,0
2011,7,0.446,0.067,-0.058,-0.817,-0.864,-1.670,-1.747,-0.840,1.814,1.612,0.125,0.077,0.300,6.520,-2.022,0
2011,8,0.577,0.157,0.065,-0.702,-0.754,-1.574,-1.635,-0.739,1.792,1.639,0.092,0.061,0.340,6.590,-1.959,0
2011,9,0.343,0.128,0.057,-0.695,-0.747,-1.552,-1.601,-0.736,1.729,1.609,0.071,0.049,0.430,6.610,-1.934,0
2011,10,0.424,0.147,0.041,-0.713,-0.760,-1.561,-1.600,-0.726,1.747,1.602,0.106,0.039,0.490,6.630,-2.044,0
2011,11,0.391,0.089,-0.023,-0.782,-0.828,-1.634,-1.689,-0.800,1.778,1.611,0.112,0.055,0.400,6.660,-2.331,0
2011,12,0.464,0.001,-0.116,-0.875,-0.911,-1.707,-1.770,-0.884,1.771,1.591,0.117,0.063,0.410,6.590,-2.190,0
2012,1,0.300,-0.158,-0.258,-1.011,-1.047,-1.837,-1.913,-1.036,1.755,1.579,0.100,0.077,0.320,6.540,-2.307,0
2012,2,0.282,-0.047,-0.137,-0.898,-0.932,-1.728,-1.791,-0.919,1.744,1.591,0.090,0.063,0.370,6.560,-2.063,0
2012,3,0.367,-0.080,-0.171,-0.920,-0.961,-1.752,-1.797,-0.938,1.717,1.581,0.091,0.045,0.290,6.550,-2.162,0
2012,4,0.585,0.061,-0.040,-0.794,-0.841,-1.643,-1.690,-0.814,1.751,1.603,0.101,0.047,0.360,6.550,-2.087,0
