Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2011,1,0.403,0.050,-0.077,-0.759,-0.778,-1.478,-1.542,-0.746,1.592,1.401,0.127,0.064,0.770,7.200,-1.929,0
2011,2,0.453,0.008,-0.112,-0.800,-0.817,-1.521,-1.614,-0.803,1.622,1.409,0.120,0.093,0.640,7.050,-2.228,0
2011,3,0.543,0.060,-0.030,-0.702,-0.727,-1.423,-1.484,-0.712,1.544,1.393,0.090,0.061,0.650,7.140,-2.030,0
2011,4,0.927,0.123,0.027,-0.657,-0.680,-1.387,-1.453,-0.665,1.576,1.414,0.096,0.066,0.710,7.100,-1.870,0
2011,5,0.738,0.224,0.115,-0.545,-0.574,-1.263,-1.317,-0.547,1.541,1.378,0.109,0.054,0.660,7.120,-1.540,0
2011,6,0.530,0.222,0.113,-0.557,-0.579,-1.271,-1.329,-0.554,1.551,1.384,0.109,0.058,0.680,7.080,-1.591,0
2011,7,0.462,0.192,0.089,-0.596,-0.621,-1.331,-1.384,-0.596,1.576,1.420,0.103,0.053,0.650,7.130,-1.577,0
2011,8,1.357,0.240,0.143,-0.557,-0.585,-1.312,-1.374,-0.567,1.614,1.455,0.097,0.062,0.600,7.210,-1.866,0
2011,9,0.761,0.277,0.193,-0.498,-0.532,-1.256,-1.301,-0.512,1.578,1.449,0.084,0.045,0.630,7.160,-1.599,0
2011,10,0.701,0.231,0.139,-0.563,-0.586,-1.310,-1.371,-0.570,1.602,1.449,0.092,0.061,0.740,7.100,-1.811,0
2011,11,0.583,0.107,-0.001,-0.682,-0.709,-1.416,-1.466,-0.680,1.573,1.415,0.108,0.050,0.770,7.180,-1.804,0
2011,12,0.499,0.074,-0.047,-0.735,-0.756,-1.465,-1.535,-0.731,1.609,1.418,0.121,0.070,0.820,7.240,-1.939,0
2012,1,0.598,-0.002,-0.127,-0.797,-0.825,-1.522,-1.600,-0.801,1.598,1.395,0.125,0.078,0.810,7.170,-2.101,0
2012,2,0.344,0.001,-0.100,-0.790,-0.809,-1.518,-1.582,-0.791,1.583,1.418,0.101,0.064,0.730,7.060,-2.192,0
2012,3,0.212,0.023,-0.054,-0.725,-0.752,-1.449,-1.496,-0.737,1.519,1.395,0.077,0.047,0.710,7.140,-2.078,0
2012,4,0.552,0.104,0.023,-0.672,-0.695,-1.413,-1.468,-0.682,1.572,1.436,0.081,0.055,0.750,7.130,-1.785,0
2012,5,0.503,0.127,0.035,-0.662,-0.684,-1.403,-1.462,-0.668,1.589,1.438,0.092,0.059,0.760,7.190,-1.733,0
2012,6,0.800,0.238,0.138,-0.559,-0.584,-1.305,-1.376,-0.569,1.614,1.443,0.100,0.071,0.690,7.160,-1.615,0
2012,7,0.470,0.178,0.078,-0.625,-0.649,-1.375,-1.433,-0.627,1.611,1.453,0.100,0.058,0.680,7.220,-1.653,0
2012,8,0.428,0.163,0.082,-0.621,-0.647,-1.375,-1.423,-0.630,1.586,1.457,0.081,0.048,0.710,7.210,-1.643,0
2012,9,0.489,0.123,0.048,-0.647,-0.674,-1.395,-1.441,-0.659,1.564,1.443,0.075,0.046,0.770,7.190,-1.747,0
2012,10,2.739,0.263,0.145,-0.555,-0.587,-1.318,-1.384,-0.561,1.647,1.463,0.118,0.066,0.810,7.230,-1.842,0
2012,11,0.559,0.129,0.021,-0.654,-0.682,-1.384,-1.445,-0.658,1.574,1.405,0.108,0.061,0.790,7.170,-1.811,0
2012,12,0.734,0.154,0.033,-0.651,-0.678,-1.389,-1.495,-0.671,1.649,1.422,0.121,0.106,0.770,7.200,-2.070,0
2013,1,0.511,-0.024,-0.141,-0.835,-0.857,-1.572,-1.655,-0.840,1.631,1.431,0.117,0.083,0.700,7.060,-2.067,0
2013,2,0.690,-0.002,-0.111,-0.798,-0.817,-1.522,-1.582,-0.792,1.580,1.411,0.109,0.060,0.720,7.110,-1.991,0
2013,3,0.704,0.146,0.068,-0.627,-0.654,-1.376,-1.444,-0.649,1.590,1.444,0.078,0.068,0.710,7.050,-1.867,0
2013,4,0.478,0.075,-0.017,-0.710,-0.739,-1.461,-1.526,-0.726,1.601,1.444,0.092,0.065,0.690,7.110,-1.816,0
2013,5,0.280,0.063,-0.016,-0.721,-0.748,-1.480,-1.548,-0.743,1.611,1.464,0.079,0.068,0.740,7.110,-2.021,0
2013,6,0.422,0.155,0.057,-0.626,-0.661,-1.378,-1.447,-0.646,1.602,1.435,0.098,0.069,0.720,7.180,-1.816,0
2013,7,0.588,0.148,0.055,-0.613,-0.645,-1.344,-1.398,-0.625,1.546,1.399,0.093,0.054,0.680,7.200,-1.625,0
2013,8,0.369,0.136,0.051,-0.626,-0.650,-1.350,-1.385,-0.625,1.521,1.401,0.085,0.035,0.690,7.180,-1.736,0
2013,9,0.340,0.127,0.054,-0.627,-0.652,-1.357,-1.396,-0.635,1.523,1.411,0.073,0.039,0.700,7.180,-1.691,0
2013,10,0.535,0.158,0.092,-0.592,-0.618,-1.328,-1.368,-0.605,1.526,1.420,0.066,0.040,0.760,7.230,-1.660,0
2013,11,0.483,-0.006,-0.100,-0.797,-0.825,-1.550,-1.618,-0.812,1.612,1.450,0.094,0.068,0.720,7.230,-1.884,0
2013,12,0.509,0.055,-0.075,-0.783,-0.808,-1.541,-1.601,-0.773,1.656,1.466,0.130,0.060,0.750,7.110,-1.865,0
2014,1,0.736,0.018,-0.107,-0.822,-0.843,-1.578,-1.638,-0.810,1.656,1.471,0.125,0.060,0.800,7.190,-2.149,0
2014,2,0.409,-0.063,-0.161,-0.837,-0.861,-1.560,-1.616,-0.840,1.553,1.399,0.098,0.056,0.710,7.190,-2.176,0
